Date,Likes,Comments,Caption,Hashtags
2024-04-30 14:01:29,46,0,"[follow @m_usicheals for more âœ¨]

 #lyrics #music","lyrics, music"
2024-04-29 14:02:40,13,0,"[follow @m_usicheals for more âœ¨] 
. . 
âœ…Double tap 
âœ…Leave a comment 
âœ…Tag and share 
. . 
#lyrics #music","lyrics, music"
2024-04-28 14:00:52,86,0,"[follow @m_usicheals for more âœ¨] 
. . 
âœ…Double tap 
âœ…Leave a comment 
âœ…Tag and share 
. . 
#lyrics #music #arianagrande","lyrics, music, arianagrande"
2024-04-27 13:00:41,14,0,"[follow @m_usicheals for more âœ¨] 
. . 
âœ…Double tap 
âœ…Leave a comment 
âœ…Tag and share 
. . 
#lyrics #music","lyrics, music"
2024-04-18 17:50:55,68,0,"[follow @m_usicheals for more ðŸŽ¶âœ¨]

#trendingreels #songlyrics #lyrics #music","trendingreels, songlyrics, lyrics, music"
2024-04-18 17:46:55,98,0,"[follow @m_usicheals for more ðŸŽ¶âœ¨]

#music #lyrics #reelinstagram #trendingreels #songlyrics","music, lyrics, reelinstagram, trendingreels, songlyrics"
2024-04-18 17:30:36,105,0,"[follow @m_usicheals for more ðŸŽ¶ âœ¨ âœ¨]

#music #lyrics","music, lyrics"
2024-04-18 16:22:42,4,0,"New or old SamðŸ¥º??

Follow @m_usicheals for more ðŸŽ¶ âœ¨ âœ¨ âœ¨ 

#music #lyrics #love #samsmith #heartbroken #instagram","music, lyrics, love, samsmith, heartbroken, instagram"
2024-04-18 16:14:51,105,0,"Have you heard this song enough times but it's still incredible?

Follow @m_usicheals for more ðŸŽ¶âœ¨âœ¨ 

#music #lyrics #reels #trending #trendingreels #viral #viralreels #songs #songlyrics","music, lyrics, reels, trending, trendingreels, viral, viralreels, songs, songlyrics"
2024-04-18 14:04:12,113,0,"[follow @m_usicheals for more âœ¨]
 . . 
âœ…Double tap 
âœ…Leave a comment 
âœ…Tag and share
 . . 
#lyrics #music #sade #smoothoperator #carlossainz #formula1","lyrics, music, sade, smoothoperator, carlossainz, formula1"
2024-04-17 16:01:31,14,0,"[follow @m_usicheals for more âœ¨] 
. . 
âœ…Double tap 
âœ…Leave a comment 
âœ…Tag and share 
. . 
#lyrics #music #dojacat","lyrics, music, dojacat"
